Surface,NbrPieces,NbrChambres,NbrSdb,Prix,Type_Appartement,Type_Maison,DPE_A (< 50),DPE_B (51 à 90),DPE_C (91 à 150),DPE_D (151 à 230),DPE_E (231 à 330),DPE_F (331 à 450),DPE_Vierge,latitude,longitude
48.0,2.0,1.0,1.0,229000,True,False,False,False,False,False,False,False,True,48.865003641,2.091451233
76.0,3.0,2.0,1.0,380000,True,False,False,False,False,False,False,False,True,48.868332771,2.749449617
69.0,3.0,2.0,2.0,375000,True,False,False,False,False,False,False,False,True,48.896168757,2.207090178
105.0,5.0,3.0,1.0,333500,False,True,False,False,False,False,False,False,True,46.532602598,4.562291041
180.0,4.0,2.0,3.0,3500000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
350.0,2.0,4.0,2.0,570000,False,True,False,False,False,False,False,False,True,48.86287791,2.3599986
67.0,3.0,2.0,1.0,365000,True,False,False,False,False,False,False,False,True,48.792392355,2.35987795
104.0,10.0,3.0,1.0,250000,False,True,False,False,False,False,False,False,True,48.86287791,2.3599986
110.0,8.0,3.0,2.0,279000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
141.0,8.0,3.0,3.0,349000,False,True,False,False,False,False,False,False,True,48.86287791,2.3599986
284.0,10.0,4.0,4.0,780000,False,True,False,False,False,False,False,False,True,48.86287791,2.3599986
179.0,6.0,3.0,3.0,565000,False,True,False,False,False,False,False,False,True,48.86287791,2.3599986
358.0,8.0,4.0,3.0,635000,False,True,False,False,False,False,False,False,True,48.86287791,2.3599986
322.0,10.0,4.0,4.0,690000,False,True,False,False,False,False,False,False,True,48.86287791,2.3599986
105.0,5.0,4.0,2.0,326000,False,True,False,False,False,False,False,False,True,49.020680055,2.10161862
285.0,10.0,4.0,2.0,780000,False,True,False,False,False,False,False,False,True,48.86287791,2.3599986
34.0,2.0,1.0,1.0,355000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
40.0,2.0,1.0,1.0,135000,True,False,False,False,False,False,False,False,True,48.953667315,1.671553521
75.0,4.0,3.0,1.0,270000,False,True,False,False,False,False,False,False,True,49.027507823,1.975650874
45.0,2.0,1.0,1.0,525000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
58.0,3.0,2.0,1.0,166000,True,False,False,False,False,False,False,False,True,48.524357339,2.697674267
65.0,5.0,2.0,1.0,300000,True,False,False,False,False,False,False,False,True,48.735923981,2.166033197
15.0,4.0,1.0,1.0,129000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
74.0,4.0,3.0,1.0,720000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
90.0,3.0,1.0,1.0,295000,False,True,False,False,False,False,False,False,True,48.832635262,1.665302121
82.0,4.0,3.0,1.0,275000,True,False,False,False,False,False,False,False,True,48.836247784,2.564607121
120.0,6.0,5.0,1.0,98000,False,True,False,False,False,False,False,False,True,48.86287791,2.3599986
140.0,4.0,3.0,1.0,1000000,True,False,False,False,False,False,False,False,True,48.780432581,2.3170591160000003
40.0,1.0,1.0,1.0,187000,True,False,False,False,False,False,False,False,True,48.908015138,2.546295743
90.0,5.0,3.0,2.0,159000,False,True,False,False,False,False,False,False,True,48.709852705,3.393426506
93.0,5.0,3.0,2.0,689000,True,False,False,False,False,False,False,False,True,48.776484949,2.296467846
50.0,2.0,1.0,1.0,150000,True,False,False,False,False,False,False,False,True,48.677735132,2.421499681
192.0,8.0,4.0,2.0,495000,False,True,False,False,False,False,False,False,True,48.853595137,1.773896062
138.0,4.0,4.0,4.0,20000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
50.0,5.806741573033708,2.541371158392435,1.3101736972704714,66000,True,False,False,False,False,False,False,False,True,48.836665517,2.481752082
160.0,7.0,3.0,2.0,310000,False,True,False,False,False,False,False,False,True,49.03598752,1.676926764
32.0,2.0,1.0,1.0,27500,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
89.0,3.0,2.0,1.0,139000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
115.0,7.0,3.0,2.0,235000,False,True,False,False,False,False,False,False,True,49.001520665,2.289265625
95.0,5.0,3.0,1.0,220000,False,True,False,False,False,False,False,False,True,48.539635881,2.629511597
93.0,4.0,3.0,1.0,255000,False,True,False,False,False,False,False,False,True,48.945834186,2.493478267
69.0,3.0,2.0,1.0,740000,True,False,False,False,False,False,False,False,True,48.847539205,2.437714989
50.0,2.0,1.0,1.0,250000,True,False,False,False,False,False,False,False,True,48.842291099,2.50400578
75.0,4.0,3.0,1.0,130000,True,False,False,False,False,False,False,False,True,48.851226859,2.474030123
500.0,5.0,4.0,4.0,250000,False,True,False,False,False,False,False,False,True,48.86287791,2.3599986
38.0,38.0,1.0,1.0,240000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
137.0,5.0,4.0,2.0,849000,True,False,False,False,False,False,False,False,True,48.823147869,2.264806255
37.0,2.0,1.0,1.0,178000,True,False,False,False,False,False,False,False,True,48.87491844,2.48590027
54.0,3.0,3.0,1.0,273000,True,False,False,False,False,False,False,False,True,48.802292474,2.117410101
145.0,5.0,3.0,2.0,379000,False,True,False,False,False,False,False,False,True,48.735923981,2.166033197
90.0,3.0,2.0,2.0,95454,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
100.0,4.0,2.0,1.0,117000,True,False,False,False,False,False,False,False,True,48.26855397,3.259845097
44.0,2.0,1.0,1.0,178000,True,False,False,False,False,False,False,False,True,48.87491844,2.48590027
500.0,1.0,1.0,1.0,1000000,False,True,False,False,False,False,False,False,True,48.86287791,2.3599986
150.0,6.0,3.0,3.0,455000,False,True,False,False,False,False,False,False,True,48.724658139,2.4212571670000003
55.0,3.0,2.0,1.0,225000,True,False,False,False,False,False,False,False,True,48.926070398,2.21192311
33.0,2.0,1.0,1.0,125000,True,False,False,False,False,False,False,False,True,48.926810989,2.122439577
42.0,2.0,1.0,1.0,135000,True,False,False,False,False,False,False,False,True,48.941845067,2.617085746
120.0,5.0,3.0,2.0,359000,False,True,False,False,False,False,False,False,True,48.656609978,2.351201849
140.0,7.0,3.0,1.0,130000,False,True,False,False,False,False,False,False,True,48.86287791,2.3599986
54.0,54.0,2.0,1.0,160000,True,False,False,False,False,False,False,False,True,48.920002762,2.535619525
72.0,72.0,3.0,1.0,155000,True,False,False,False,False,False,False,False,True,48.938717628,2.530589988
218.0,8.0,5.0,3.0,443000,False,True,False,False,False,False,False,False,True,48.763240732,3.076987933
61.0,3.0,2.0,1.0,107000,True,False,False,False,False,False,False,False,True,48.709852705,3.393426506
93.0,3.0,2.0,2.0,550000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
240.0,8.0,3.0,1.0,198000,False,True,False,False,False,False,False,False,True,48.709852705,3.393426506
40.0,2.0,1.0,1.0,139000,True,False,False,False,False,False,False,False,True,48.642087338,2.268333554
67.0,3.0,2.0,1.0,241500,True,False,False,False,False,False,False,False,True,48.730259564,1.759908234
81.0,4.0,3.0,1.0,219000,True,False,False,False,False,False,False,False,True,48.524357339,2.697674267
44.0,2.0,1.0,1.0,89000,True,False,False,False,False,False,False,False,True,48.945834186,2.493478267
500.0,5.806741573033708,2.541371158392435,1.3101736972704714,800000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
500.0,5.806741573033708,2.541371158392435,1.3101736972704714,150000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
45.0,2.0,1.0,1.0,225000,True,False,False,False,False,False,False,False,True,48.91591925,2.287808861
45.0,2.0,1.0,1.0,229000,True,False,False,False,False,False,False,False,True,48.91591925,2.287808861
100.0,6.0,4.0,1.3101736972704714,98000,False,True,False,False,False,False,False,False,True,48.648531731,2.035941043
96.0,6.0,4.0,2.0,255000,False,True,False,False,False,False,False,False,True,48.645608238,2.40818892
50.0,2.0,1.0,1.0,215000,True,False,False,False,False,False,False,False,True,48.842291099,2.50400578
72.0,4.0,2.0,1.0,197000,True,False,False,False,False,False,False,False,True,48.817396568,2.516989292
100.0,4.0,3.0,2.0,49000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
60.0,3.0,2.0,1.0,550000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
70.0,4.0,2.0,1.0,144000,False,True,False,False,False,False,False,False,True,48.709852705,3.393426506
20.0,1.0,1.0,1.0,83000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
86.0,5.0,3.0,1.0,325000,False,True,False,False,False,False,False,False,True,48.975019705,2.178020378
63.0,4.0,3.0,1.0,179500,True,False,False,False,False,False,False,False,True,48.986978789,1.962958272
